"example_id","query_id","query","product_id","product_title","esci_label","sim_orig","sim_adv","delta_held_out","rank_orig","rank_adv","rank_lift"
353787,16932,"black woven storage basket","B08D73WPCZ","Joyeen Small Plastic Weave Baskets, Storage Bins, 6 Pack","E",0.24943125247955322,0.2652134299278259,0.015782177448272705,1,1,0
117382,4818,"5xl carhartt shirts for men big and tall","B07KBQQ43F","Carhartt Men's Rugged Flex Rigby Short Sleeve Work Shirt, Gravel, X-Large","E",0.23332108557224274,0.23635363578796387,0.0030325502157211304,1,1,0
1391488,70694,"morral táctico 5.11","B004D1UPIY","5.11 RUSH MOAB 6 Tactical Sling Pack Military Molle Backpack Bag, Style 56963, Black","E",0.22126631438732147,0.22779440879821777,0.006528094410896301,2,2,0
387586,18639,"bose earbuds","B08CJCTG6Z","Bose Sport Earbuds - Wireless Earphones - Bluetooth In Ear Headphones for Workouts and Running, Triple Black","E",0.26267096400260925,0.2947360873222351,0.032065123319625854,2,1,1
1902867,97309,"ssd hard drive internal","B072R78B6Q","SanDisk Ultra 3D SSD de 500 GB con hasta 560 MB/s de velocidad de lectura / hasta 530 MB/s de velocidad de escritura","E",0.23496180772781372,0.24235278367996216,0.0073909759521484375,2,2,0
1567443,79800,"picture hangers without nails heavy duty","B073XR4X72","Command Large Picture Hanging Strips, White, Holds up to 16 lbs, 14-Pairs, Easy to Open Packaging","E",0.21818256378173828,0.22373796999454498,0.005555406212806702,11,4,7
1902862,97309,"ssd hard drive internal","B07NNRTTCM","Western Digital 1TB WD Green Internal PC SSD Solid State Drive - SATA III 6 Gb/s, 2.5""/7mm, Up to 550 MB/s - WDS100T2G0A","E",0.2552979290485382,0.2535366117954254,-0.001761317253112793,1,1,0
136908,5747,"Pockets on both sides. Brown leather. Extra large. ","B07H7S6QBR","Kenneth Cole Reaction Manhattan Commuter Slim Backpack 16"" Laptop Computer & Tablet Travel, Business, Work, School Bookbag, Cognac, Colombian Leather","E",0.19237372279167175,0.2219974845647812,0.029623761773109436,2,2,0
1768723,90261,"samsung s10+ case","B07N9GDT4H","OTTERBOX DEFENDER SERIES SCREENLESS EDITION Case for Galaxy S10+ - BLACK","E",0.2739783227443695,0.2889992892742157,0.015020966529846191,2,1,1
1395518,70905,"motor tool dewalt","B06WW85XHR","DEWALT Angle Grinder Tool, 4-1/2-Inch to 6-Inch, Trigger Switch (DWE43116)","E",0.2694768011569977,0.296830415725708,0.027353614568710327,1,1,0
100419,4027,"4 1/2 angle grinder","B00Z5LTO7O","Makita GA4542C SJSII High Power Angle Grinder, 4-1/2""","E",0.2543560862541199,0.2555968165397644,0.0012407302856445312,1,1,0
216452,9869,"apple watch chargee","B07ZNT29ZF","Powlaken Watch Charger, Magnetic Charging Cable Cord Compatible with Apple Watch Series Se, 6, 5, 4, 3, 2, 1","E",0.09472466260194778,0.08736598491668701,-0.007358677685260773,390,423,-33
286138,13429,"basketball","B01C5A2WJO","Little Tikes Easy Score Basketball Set, Blue, 3 Balls - Amazon Exclusive","E",0.23265866935253143,0.24130845069885254,0.008649781346321106,2,1,1
94294,3764,"36 inch shower curtain rod","B000ASIK9U","Zenna Home Tension Stall Shower Rod, 27""-40"", White","E",0.24814793467521667,0.2794467806816101,0.03129884600639343,3,1,2
1685607,85921,"reading cushion","B0117SNG0O","Linenspa Shredded Foam Pillow Perfect for Back Support While Relaxing, Gaming, Reading, or Watching TV - Soft Velour Cover, Standard, Stone","E",0.2430918961763382,0.24564319849014282,0.0025513023138046265,1,1,0
